user_id,stage,conversion
user_0,homepage,TRUE
user_1,homepage,TRUE
user_2,homepage,TRUE
user_3,homepage,TRUE
user_4,homepage,TRUE
user_5,homepage,TRUE
user_6,homepage,TRUE
user_7,homepage,TRUE
user_8,homepage,TRUE
user_9,homepage,TRUE
user_10,homepage,TRUE
user_11,homepage,TRUE
user_12,homepage,TRUE
user_13,homepage,TRUE
user_14,homepage,TRUE
user_15,homepage,TRUE
user_16,homepage,TRUE
user_17,homepage,TRUE
user_18,homepage,TRUE
user_19,homepage,TRUE
user_20,homepage,TRUE
user_21,homepage,TRUE
user_22,homepage,TRUE
user_23,homepage,TRUE
user_24,homepage,TRUE
user_25,homepage,TRUE
user_26,homepage,TRUE
user_27,homepage,TRUE
user_28,homepage,TRUE
user_29,homepage,TRUE
user_30,homepage,TRUE
user_31,homepage,TRUE
user_32,homepage,TRUE
user_33,homepage,TRUE
user_34,homepage,TRUE
user_35,homepage,TRUE
user_36,homepage,TRUE
user_37,homepage,TRUE
user_38,homepage,TRUE
user_39,homepage,TRUE
user_40,homepage,TRUE
user_41,homepage,TRUE
user_42,homepage,TRUE
user_43,homepage,TRUE
user_44,homepage,TRUE
user_45,homepage,TRUE
user_46,homepage,TRUE
user_47,homepage,TRUE
user_48,homepage,TRUE
user_49,homepage,TRUE
user_50,homepage,TRUE
user_51,homepage,TRUE
user_52,homepage,TRUE
user_53,homepage,TRUE
user_54,homepage,TRUE
user_55,homepage,TRUE
user_56,homepage,TRUE
user_57,homepage,TRUE
user_58,homepage,TRUE
user_59,homepage,TRUE
user_60,homepage,TRUE
user_61,homepage,TRUE
user_62,homepage,TRUE
user_63,homepage,TRUE
user_64,homepage,TRUE
user_65,homepage,TRUE
user_66,homepage,TRUE
user_67,homepage,TRUE
user_68,homepage,TRUE
user_69,homepage,TRUE
user_70,homepage,TRUE
user_71,homepage,TRUE
user_72,homepage,TRUE
user_73,homepage,TRUE
user_74,homepage,TRUE
user_75,homepage,TRUE
user_76,homepage,TRUE
user_77,homepage,TRUE
user_78,homepage,TRUE
user_79,homepage,TRUE
user_80,homepage,TRUE
user_81,homepage,TRUE
user_82,homepage,TRUE
user_83,homepage,TRUE
user_84,homepage,TRUE
user_85,homepage,TRUE
user_86,homepage,TRUE
user_87,homepage,TRUE
user_88,homepage,TRUE
user_89,homepage,TRUE
user_90,homepage,TRUE
user_91,homepage,TRUE
user_92,homepage,TRUE
user_93,homepage,TRUE
user_94,homepage,TRUE
user_95,homepage,TRUE
user_96,homepage,TRUE
user_97,homepage,TRUE
user_98,homepage,TRUE
user_99,homepage,TRUE
user_100,homepage,TRUE
user_101,homepage,TRUE
user_102,homepage,TRUE
user_103,homepage,TRUE
user_104,homepage,TRUE
user_105,homepage,TRUE
user_106,homepage,TRUE
user_107,homepage,TRUE
user_108,homepage,TRUE
user_109,homepage,TRUE
user_110,homepage,TRUE
user_111,homepage,TRUE
user_112,homepage,TRUE
user_113,homepage,TRUE
user_114,homepage,TRUE
user_115,homepage,TRUE
user_116,homepage,TRUE
user_117,homepage,TRUE
user_118,homepage,TRUE
user_119,homepage,TRUE
user_120,homepage,TRUE
user_121,homepage,TRUE
user_122,homepage,TRUE
user_123,homepage,TRUE
user_124,homepage,TRUE
user_125,homepage,TRUE
user_126,homepage,TRUE
user_127,homepage,TRUE
user_128,homepage,TRUE
user_129,homepage,TRUE
user_130,homepage,TRUE
user_131,homepage,TRUE
user_132,homepage,TRUE
user_133,homepage,TRUE
user_134,homepage,TRUE
user_135,homepage,TRUE
user_136,homepage,TRUE
user_137,homepage,TRUE
user_138,homepage,TRUE
user_139,homepage,TRUE
user_140,homepage,TRUE
user_141,homepage,TRUE
user_142,homepage,TRUE
user_143,homepage,TRUE
user_144,homepage,TRUE
user_145,homepage,TRUE
user_146,homepage,TRUE
user_147,homepage,TRUE
user_148,homepage,TRUE
user_149,homepage,TRUE
user_150,homepage,TRUE
user_151,homepage,TRUE
user_152,homepage,TRUE
user_153,homepage,TRUE
user_154,homepage,TRUE
user_155,homepage,TRUE
user_156,homepage,TRUE
user_157,homepage,TRUE
user_158,homepage,TRUE
user_159,homepage,TRUE
user_160,homepage,TRUE
user_161,homepage,TRUE
user_162,homepage,TRUE
user_163,homepage,TRUE
user_164,homepage,TRUE
user_165,homepage,TRUE
user_166,homepage,TRUE
user_167,homepage,TRUE
user_168,homepage,TRUE
user_169,homepage,TRUE
user_170,homepage,TRUE
user_171,homepage,TRUE
user_172,homepage,TRUE
user_173,homepage,TRUE
user_174,homepage,TRUE
user_175,homepage,TRUE
user_176,homepage,TRUE
user_177,homepage,TRUE
user_178,homepage,TRUE
user_179,homepage,TRUE
user_180,homepage,TRUE
user_181,homepage,TRUE
user_182,homepage,TRUE
user_183,homepage,TRUE
user_184,homepage,TRUE
user_185,homepage,TRUE
user_186,homepage,TRUE
user_187,homepage,TRUE
user_188,homepage,TRUE
user_189,homepage,TRUE
user_190,homepage,TRUE
user_191,homepage,TRUE
user_192,homepage,TRUE
user_193,homepage,TRUE
user_194,homepage,TRUE
user_195,homepage,TRUE
user_196,homepage,TRUE
user_197,homepage,TRUE
user_198,homepage,TRUE
user_199,homepage,TRUE
user_200,homepage,TRUE
user_201,homepage,TRUE
user_202,homepage,TRUE
user_203,homepage,TRUE
user_204,homepage,TRUE
user_205,homepage,TRUE
user_206,homepage,TRUE
user_207,homepage,TRUE
user_208,homepage,TRUE
user_209,homepage,TRUE
user_210,homepage,TRUE
user_211,homepage,TRUE
user_212,homepage,TRUE
user_213,homepage,TRUE
user_214,homepage,TRUE
user_215,homepage,TRUE
user_216,homepage,TRUE
user_217,homepage,TRUE
user_218,homepage,TRUE
user_219,homepage,TRUE
user_220,homepage,TRUE
user_221,homepage,TRUE
user_222,homepage,TRUE
user_223,homepage,TRUE
user_224,homepage,TRUE
user_225,homepage,TRUE
user_226,homepage,TRUE
user_227,homepage,TRUE
user_228,homepage,TRUE
user_229,homepage,TRUE
user_230,homepage,TRUE
user_231,homepage,TRUE
user_232,homepage,TRUE
user_233,homepage,TRUE
user_234,homepage,TRUE
user_235,homepage,TRUE
user_236,homepage,TRUE
user_237,homepage,TRUE
user_238,homepage,TRUE
user_239,homepage,TRUE
user_240,homepage,TRUE
user_241,homepage,TRUE
user_242,homepage,TRUE
user_243,homepage,TRUE
user_244,homepage,TRUE
user_245,homepage,TRUE
user_246,homepage,TRUE
user_247,homepage,TRUE
user_248,homepage,TRUE
user_249,homepage,TRUE
user_250,homepage,TRUE
user_251,homepage,TRUE
user_252,homepage,TRUE
user_253,homepage,TRUE
user_254,homepage,TRUE
user_255,homepage,TRUE
user_256,homepage,TRUE
user_257,homepage,TRUE
user_258,homepage,TRUE
user_259,homepage,TRUE
user_260,homepage,TRUE
user_261,homepage,TRUE
user_262,homepage,TRUE
user_263,homepage,TRUE
user_264,homepage,TRUE
user_265,homepage,TRUE
user_266,homepage,TRUE
user_267,homepage,TRUE
user_268,homepage,TRUE
user_269,homepage,TRUE
user_270,homepage,TRUE
user_271,homepage,TRUE
user_272,homepage,TRUE
user_273,homepage,TRUE
user_274,homepage,TRUE
user_275,homepage,TRUE
user_276,homepage,TRUE
user_277,homepage,TRUE
user_278,homepage,TRUE
user_279,homepage,TRUE
user_280,homepage,TRUE
user_281,homepage,TRUE
user_282,homepage,TRUE
user_283,homepage,TRUE
user_284,homepage,TRUE
user_285,homepage,TRUE
user_286,homepage,TRUE
user_287,homepage,TRUE
user_288,homepage,TRUE
user_289,homepage,TRUE
user_290,homepage,TRUE
user_291,homepage,TRUE
user_292,homepage,TRUE
user_293,homepage,TRUE
user_294,homepage,TRUE
user_295,homepage,TRUE
user_296,homepage,TRUE
user_297,homepage,TRUE
user_298,homepage,TRUE
user_299,homepage,TRUE
user_300,homepage,TRUE
user_301,homepage,TRUE
user_302,homepage,TRUE
user_303,homepage,TRUE
user_304,homepage,TRUE
user_305,homepage,TRUE
user_306,homepage,TRUE
user_307,homepage,TRUE
user_308,homepage,TRUE
user_309,homepage,TRUE
user_310,homepage,TRUE
